run,channel,idx,arch,subset_size,n_slice_rows,bh76_mae_nn,bh76_mae_pbe,bh76_n,w411_mae_nn,w411_mae_pbe,w411_n,combined_mae_nn,combined_mae_pbe,combined_n
run_20260827T163330Z,eval_holdout_coldstart,2,medium,3,120,4.912537348243927,6.628451441344327,38,11.156588228330095,13.826366600151577,81,9.162689627966445,11.527872683893799,119
run_20260827T163330Z,eval_holdout_coldstart,3,medium,4,120,4.63731936028444,6.628451441344327,38,10.796466515078885,13.826366600151577,81,8.829680028673936,11.527872683893799,119
run_20260827T163330Z,eval_holdout_coldstart,4,medium,5,120,4.517292219041093,6.628451441344327,38,9.259927575210497,13.826366600151577,81,7.745472587526149,11.527872683893799,119
run_20260827T163330Z,eval_holdout_coldstart,5,medium,6,120,4.4453270582223805,6.628451441344327,38,10.396257643154135,13.826366600151577,81,8.495960481579289,11.527872683893799,119
run_20260827T163330Z,eval_holdout_coldstart,6,medium,7,120,4.65464189814725,6.628451441344327,38,8.168301953100311,13.826366600151577,81,7.046292859922023,11.527872683893799,119
run_20260827T163330Z,eval_holdout_coldstart,7,medium,12,120,4.748850059167995,6.628451441344327,38,8.682248828406074,13.826366600151577,81,7.426205523943494,11.527872683893799,119
run_20260827T163330Z,eval_holdout_coldstart,8,medium,15,120,4.8795771639302945,6.628451441344327,38,8.477748575013358,13.826366600151577,81,7.328752662230531,11.527872683893799,119
run_20260827T163330Z,eval_holdout_coldstart,9,medium,18,120,4.947640858761727,6.628451441344327,38,8.419194875289426,13.826366600151577,81,7.310631407826801,11.527872683893799,119
run_20260827T163330Z,eval_holdout_coldstart,11,medium_attn,1,120,8.251785869136024,6.628451441344327,38,7.570849452021085,13.826366600151577,81,7.788291333116612,11.527872683893799,119
run_20260827T163330Z,eval_holdout_coldstart,12,medium_attn,2,120,4.97694613433114,6.628451441344327,38,22.851017736010874,13.826366600151577,81,17.143331006062724,11.527872683893799,119
run_20260827T163330Z,eval_holdout_coldstart,13,medium_attn,3,120,5.9900521045956,6.628451441344327,38,9.845011497471111,13.826366600151577,81,8.614016061090696,11.527872683893799,119
run_20260827T163330Z,eval_holdout_coldstart,14,medium_attn,4,120,4.905000104649748,6.628451441344327,38,12.432887529921985,13.826366600151577,81,10.029024318490514,11.527872683893799,119
run_20260827T163330Z,eval_holdout_coldstart,15,medium_attn,5,120,5.406866747307678,6.628451441344327,38,7.334546687114138,13.826366600151577,81,6.718985025663335,11.527872683893799,119
run_20260827T163330Z,eval_holdout_coldstart,16,medium_attn,6,120,5.514873759812282,6.628451441344327,38,7.4003131428659605,13.826366600151577,81,6.798240062563106,11.527872683893799,119
run_20260827T163330Z,eval_holdout_coldstart,17,medium_attn,7,120,5.763045429636431,6.628451441344327,38,6.24896891178079,13.826366600151577,81,6.0938000687430955,11.527872683893799,119
run_20260827T163330Z,eval_holdout_coldstart,18,medium_attn,12,120,5.337367388051259,6.628451441344327,38,8.136570779532951,13.826366600151577,81,7.2427075116648485,11.527872683893799,119
run_20260827T163330Z,eval_holdout_coldstart,19,medium_attn,15,120,5.535109448521385,6.628451441344327,38,7.414254739578285,13.826366600151577,81,6.814191537392048,11.527872683893799,119
run_20260827T163330Z,eval_holdout_coldstart,20,medium_attn,18,120,5.582900160180875,6.628451441344327,38,7.470402000392036,13.826366600151577,81,6.867670320324606,11.527872683893799,119
run_20260827T163330Z,eval_holdout_coldstart,21,medium_attn,26,120,6.209698876548579,6.628451441344327,38,7.510586324613871,13.826366600151577,81,7.095176887416551,11.527872683893799,119
run_20260827T163330Z,eval_holdout_coldstart,22,shallow,1,120,6.460481250798231,6.628451441344327,38,10.184329601197462,13.826366600151577,81,8.995201556532162,11.527872683893799,119
run_20260827T163330Z,eval_holdout_coldstart,23,shallow,2,120,4.654543507424366,6.628451441344327,38,10.299901272800986,13.826366600151577,81,8.4971819863782,11.527872683893799,119
run_20260827T163330Z,eval_holdout_coldstart,24,shallow,3,120,4.827944470773187,6.628451441344327,38,9.834656176400529,13.826366600151577,81,8.235874287208604,11.527872683893799,119
run_20260827T163330Z,eval_holdout_coldstart,25,shallow,4,120,4.703011886597038,6.628451441344327,38,9.744183125325975,13.826366600151577,81,8.134397351614215,11.527872683893799,119
run_20260827T163330Z,eval_holdout_coldstart,26,shallow,5,120,4.639715582258056,6.628451441344327,38,9.219081344584774,13.826366600151577,81,7.756762865858595,11.527872683893799,119
run_20260827T163330Z,eval_holdout_coldstart,27,shallow,6,120,4.665848461791013,6.628451441344327,38,9.118425017503803,13.826366600151577,81,7.69659384845266,11.527872683893799,119
run_20260827T163330Z,eval_holdout_coldstart,28,shallow,7,120,4.699321294032522,6.6284514413681315,38,9.361811060791167,13.8263666001251,81,7.8729487823304245,11.52787268388338,119
run_20260827T163330Z,eval_holdout_coldstart,29,shallow,12,120,4.3242665504024105,6.6284514413681315,38,11.233471218060645,13.8263666001251,81,9.027170567884065,11.52787268388338,119
