panel,series,x_name,x,y_name,y,raw_indicator
b_ceiling,raw_indicator,tau_over_tau_unif,2.5511031858052666,alpha,0.8844365191385999,0.8844365191385999
b_ceiling,raw_indicator,tau_over_tau_unif,2.5647845276273613,alpha,0.8981178609606946,0.8981178609606946
b_ceiling,raw_indicator,tau_over_tau_unif,2.5786775060225766,alpha,0.9120108393559099,0.9120108393559099
b_ceiling,raw_indicator,tau_over_tau_unif,2.5927853947954604,alpha,0.9261187281287935,0.9261187281287935
b_ceiling,raw_indicator,tau_over_tau_unif,2.6071115183930185,alpha,0.9404448517263518,0.9404448517263518
b_ceiling,raw_indicator,tau_over_tau_unif,2.6216592526881026,alpha,0.9549925860214361,0.9549925860214361
b_ceiling,raw_indicator,tau_over_tau_unif,2.636432025774916,alpha,0.9697653591082493,0.9697653591082493
b_ceiling,raw_indicator,tau_over_tau_unif,2.6514333187768253,alpha,0.9847666521101583,0.9847666521101583
b_ceiling,raw_indicator,tau_over_tau_unif,2.666666666666667,alpha,1.0,1.0
b_ceiling,raw_indicator,tau_over_tau_unif,2.6821356590997474,alpha,1.0154689924330806,1.0154689924330806
b_ceiling,raw_indicator,tau_over_tau_unif,2.6978439412597224,alpha,1.0311772745930554,1.0311772745930554
b_ceiling,raw_indicator,tau_over_tau_unif,2.7137952147175666,alpha,1.0471285480508996,1.0471285480508996
b_ceiling,raw_indicator,tau_over_tau_unif,2.7299932383038286,alpha,1.0633265716371616,1.0633265716371616
b_ceiling,raw_indicator,tau_over_tau_unif,2.7464418289943766,alpha,1.0797751623277099,1.0797751623277099
b_ceiling,raw_indicator,tau_over_tau_unif,2.7631448628098516,alpha,1.096478196143185,1.096478196143185
b_ceiling,raw_indicator,tau_over_tau_unif,2.780106275729028,alpha,1.1134396090623613,1.1134396090623613
b_ceiling,raw_indicator,tau_over_tau_unif,2.7973300646163057,alpha,1.1306633979496392,1.1306633979496392
b_ceiling,raw_indicator,tau_over_tau_unif,2.8148202881635496,alpha,1.1481536214968828,1.1481536214968828
b_ceiling,raw_indicator,tau_over_tau_unif,2.8325810678464984,alpha,1.1659144011798317,1.1659144011798317
b_ceiling,raw_indicator,tau_over_tau_unif,2.850616588895969,alpha,1.1839499222293022,1.1839499222293022
b_ceiling,raw_indicator,tau_over_tau_unif,2.8689311012840797,alpha,1.2022644346174132,1.2022644346174132
b_ceiling,raw_indicator,tau_over_tau_unif,2.887528920725738,alpha,1.2208622540590712,1.2208622540590712
b_ceiling,raw_indicator,tau_over_tau_unif,2.9064144296956114,alpha,1.2397477630289446,1.2397477630289446
b_ceiling,raw_indicator,tau_over_tau_unif,2.9255920784608342,alpha,1.2589254117941675,1.2589254117941675
b_ceiling,raw_indicator,tau_over_tau_unif,2.9450663861296906,alpha,1.2783997194630237,1.2783997194630237
b_ceiling,raw_indicator,tau_over_tau_unif,2.964841941716516,alpha,1.2981752750498496,1.2981752750498496
b_ceiling,raw_indicator,tau_over_tau_unif,2.984923405223074,alpha,1.3182567385564075,1.3182567385564075
b_ceiling,raw_indicator,tau_over_tau_unif,3.0053155087366603,alpha,1.3386488420699933,1.3386488420699933
b_ceiling,raw_indicator,tau_over_tau_unif,3.026023057545192,alpha,1.3593563908785256,1.3593563908785256
b_ceiling,raw_indicator,tau_over_tau_unif,3.0470509312695517,alpha,1.3803842646028852,1.3803842646028852
b_ceiling,raw_indicator,tau_over_tau_unif,3.068404085013437,alpha,1.4017374183467701,1.4017374183467701
b_ceiling,raw_indicator,tau_over_tau_unif,3.0900875505310084,alpha,1.4234208838643416,1.4234208838643416
b_ceiling,raw_indicator,tau_over_tau_unif,3.112106437412595,alpha,1.4454397707459279,1.4454397707459279
b_ceiling,raw_indicator,tau_over_tau_unif,3.1344659342887367,alpha,1.4677992676220697,1.4677992676220697
b_ceiling,raw_indicator,tau_over_tau_unif,3.157171310052863,alpha,1.4905046433861961,1.4905046433861961
b_ceiling,raw_indicator,tau_over_tau_unif,3.1802279151028756,alpha,1.5135612484362087,1.5135612484362087
b_ceiling,raw_indicator,tau_over_tau_unif,3.203641182601938,alpha,1.5369745159352717,1.5369745159352717
b_ceiling,raw_indicator,tau_over_tau_unif,3.2274166297587783,alpha,1.5607499630921113,1.5607499630921113
b_ceiling,raw_indicator,tau_over_tau_unif,3.251559859127781,alpha,1.584893192461114,1.584893192461114
b_ceiling,raw_indicator,tau_over_tau_unif,3.2760765599292023,alpha,1.6094098932625354,1.6094098932625354
b_ceiling,raw_indicator,tau_over_tau_unif,3.3009725093898044,alpha,1.6343058427231376,1.6343058427231376
b_ceiling,raw_indicator,tau_over_tau_unif,3.326253574104227,alpha,1.6595869074375604,1.6595869074375604
b_ceiling,raw_indicator,tau_over_tau_unif,3.351925711417419,alpha,1.6852590447507518,1.6852590447507518
b_ceiling,raw_indicator,tau_over_tau_unif,3.377994970828448,alpha,1.711328304161781,1.711328304161781
b_ceiling,raw_indicator,tau_over_tau_unif,3.404467495416042,alpha,1.7378008287493754,1.7378008287493754
b_ceiling,raw_indicator,tau_over_tau_unif,3.4313495232861673,alpha,1.7646828566195008,1.7646828566195008
b_ceiling,raw_indicator,tau_over_tau_unif,3.4586473890420004,alpha,1.791980722375334,1.791980722375334
b_ceiling,raw_indicator,tau_over_tau_unif,3.48636752527665,alpha,1.8197008586099834,1.8197008586099834
