panel,series,x_name,x,y_name,y,Fx
a_residual,s0,alpha,193.86526359522077,abs_delta_Fx,0.0008433764085118423,0.7851331131741686
a_residual,s0,alpha,199.52623149688787,abs_delta_Fx,0.0008687922176948693,0.7851076973649855
a_residual,s0,alpha,205.3525026457146,abs_delta_Fx,0.0008934826462279055,0.7850830069364525
a_residual,s0,alpha,211.34890398366477,abs_delta_Fx,0.0009174685150636908,0.7850590210676167
a_residual,s0,alpha,217.52040340195222,abs_delta_Fx,0.0009407700408976538,0.7850357195417828
a_residual,s0,alpha,223.872113856834,abs_delta_Fx,0.0009634068540778085,0.7850130827286026
a_residual,s0,alpha,230.40929760558447,abs_delta_Fx,0.0009853980159599818,0.7849910915667204
a_residual,s0,alpha,237.13737056616552,abs_delta_Fx,0.001006762035728359,0.784969727546952
a_residual,s0,alpha,244.06190680419814,abs_delta_Fx,0.0010275168867008855,0.7849489726959795
a_residual,s0,alpha,251.18864315095797,abs_delta_Fx,0.0010476800221417282,0.7849288095605387
a_residual,s0,alpha,258.52348395621914,abs_delta_Fx,0.001067268390580578,0.7849092211920998
a_residual,s0,alpha,266.0725059798809,abs_delta_Fx,0.0010862984506734286,0.784890191132007
a_residual,s0,alpha,273.8419634264361,abs_delta_Fx,0.0011047861856092744,0.7848717033970711
a_residual,s0,alpha,281.8382931264455,abs_delta_Fx,0.0011227471170762726,0.7848537424656041
a_residual,s0,alpha,290.0681198693153,abs_delta_Fx,0.001140196318809794,0.7848362932638706
a_residual,s0,alpha,298.538261891796,abs_delta_Fx,0.00115714842972503,0.7848193411529554
a_residual,s0,alpha,307.25573652674456,abs_delta_Fx,0.0011736176666583553,0.784802871916022
a_residual,s0,alpha,316.22776601683796,abs_delta_Fx,0.00118961783672078,0.7847868717459596
a_residual,s0,alpha,325.46178349804603,abs_delta_Fx,0.0012051623492808083,0.7847713272333996
a_residual,s0,alpha,334.9654391578276,abs_delta_Fx,0.0012202642275869202,0.7847562253550935
a_residual,s0,alpha,344.74660657314945,abs_delta_Fx,0.0012349361200405529,0.7847415534626399
a_residual,s0,alpha,354.8133892335753,abs_delta_Fx,0.0012491903111344627,0.7847272992715459
a_residual,s0,alpha,365.1741272548377,abs_delta_Fx,0.0012630387320595737,0.7847134508506208
